"pending","очікує розгляду"
"approved","затверджено"
"declined","відхилено"
"You request for product %1 was accepted!","Ваш запит на продукт %1 було прийнято!"
"Your request can't be sent. Please, contact us if you see this message.","Ваш запит не може бути відправлено. Будь ласка, зв'яжіться з нами, якщо побачите це повідомлення."
"Participate in the program","Участь у програмі"
"Already requested!","Запит відправлено!"
"Request status:","Статус запиту:"
"No discount request","Відсутній запит на знижку"
"Discount Request","Запит на знижку"
Name,Ім'я
Email,Електронна адреса
"Request a Discount","Відправити запит"
"Success","Відправлено"
"Error","Помилка"
"Loyalty program for Regular Customers","Програма лояльності для постійних клієнтів"
"Personal Discount","Особиста знижка"
